Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurance,Reporting District,Agency,Report/No Report
B16-00578,1/5/16,5:50 PM,January,Tuesday,NOISE,3100 S WALNUT STREET PIKE; BLDG B 149,LB336,BPD,No Report
B16-00593,1/5/16,8:52 PM,January,Tuesday,NOISE,913 S LINCOLN ST,LB314,BPD,No Report
B16-00601,1/5/16,10:35 PM,January,Tuesday,NOISE,1702 W SUNSTONE DR,LB425,BPD,No Report
B16-00620,1/6/16,12:30 AM,January,Wednesday,NOISE,1702 W SUNSTONE DR,LB425,BPD,No Report
B16-00675,1/6/16,1:23 PM,January,Wednesday,NOISE,1600 N WILLIS DR; TRL 117,LB513,BPD,No Report
B16-00770,1/7/16,8:41 AM,January,Thursday,NOISE,1049 S BASSWOOD CIR,LB415,BPD,No Report
B16-00864,1/7/16,10:50 PM,January,Thursday,NOISE,320 S DUNN ST,LB104,BPD,No Report
B16-00980,1/8/16,6:49 PM,January,Friday,NOISE,913 N COLLEGE AVE; APT 101,LB519,BPD,No Report
B16-01154,1/10/16,12:25 AM,January,Sunday,NOISE,1627 S DORCHESTER DR,LB317,BPD,No Report
B16-01156,1/10/16,1:08 AM,January,Sunday,NOISE,513 E 14TH ST; APT C,LB214,BPD,No Report
B16-01159,1/10/16,2:07 AM,January,Sunday,NOISE,418 E 16TH ST,LB213,BPD,No Report
B16-01164,1/10/16,3:00 AM,January,Sunday,NOISE,959 E MILLER DR,LB316,BPD,No Report
B16-01168,1/10/16,3:53 AM,January,Sunday,NOISE,405 E 17TH ST;APT 11,LB212,BPD,No Report
B16-01222,1/10/16,4:10 PM,January,Sunday,NOISE,3277 S WALNUT SPRINGS DR,LB336,BPD,No Report
B16-01226,1/10/16,4:42 PM,January,Sunday,NOISE,3100 S WALNUT STREET PIKE; APT B149,LB336,BPD,No Report
B16-01245,1/10/16,6:54 PM,January,Sunday,NOISE,541 W TERRY LN; APT D,LB513,BPD,No Report
B16-01360,1/11/16,7:09 PM,January,Monday,NOISE,3100 S WALNUT STREET PIKE; B121,LB336,BPD,No Report
B16-01396,1/12/16,1:55 AM,January,Tuesday,NOISE,2500 S ROCKPORT RD,LB424,BPD,No Report
B16-01397,1/12/16,2:30 AM,January,Tuesday,NOISE,615 W 15TH ST; APT 11,LB518,BPD,No Report
B16-01510,1/12/16,10:25 PM,January,Tuesday,NOISE,219 E 7TH ST; apt 209,LB102,BPD,No Report
B16-01517,1/12/16,11:27 PM,January,Tuesday,NOISE,701 N COLLEGE AVE; apt,LB519,BPD,No Report
B16-01527,1/13/16,12:26 AM,January,Wednesday,NOISE,504 S MULLER PKWY,LB404,BPD,No Report
B16-01637,1/13/16,10:48 PM,January,Wednesday,NOISE,563 W HOOSIER COURT AVE,LB513,BPD,No Report
B16-01806,1/14/16,11:26 PM,January,Thursday,NOISE,212 N MORTON ST; APT 312,LB101,BPD,No Report
B16-01810,1/15/16,12:36 AM,January,Friday,NOISE,3100 S WALNUT STREET PIKE; B100,LB336,BPD,No Report
B16-01813,1/15/16,1:21 AM,January,Friday,NOISE,1308 E ATWATER AVE,LB303,BPD,Report
B16-01820,1/15/16,3:56 AM,January,Friday,NOISE,3530 S KENNEDY DR,LB336,BPD,No Report
B16-01822,1/15/16,5:01 AM,January,Friday,NOISE,523 E SMITH AVE,LB104,BPD,No Report
B16-01832,1/15/16,7:21 AM,January,Friday,NOISE,2500 S ROCKPORT RD; 1800 BUILDING,LB424,BPD,No Report
B16-01935,1/15/16,6:10 PM,January,Friday,NOISE,1024 N JACKSON ST,LB518,BPD,No Report
B16-01966,1/15/16,9:43 PM,January,Friday,NOISE,931 S MAXWELL TER; APT C,LB312,BPD,No Report
B16-01974,1/15/16,11:29 PM,January,Friday,NOISE,S BALLANTINE RD & E ATWATER AVE,LIU14,BPD,No Report
B16-01976,1/15/16,11:33 PM,January,Friday,NOISE,415 E 10TH ST,LB213,BPD,No Report
B16-01977,1/15/16,11:25 PM,January,Friday,NOISE,219 E 7TH ST; APT 312,LB102,BPD,No Report
B16-01980,1/16/16,12:12 AM,January,Saturday,NOISE,108 E SOUTHERN DR,LB315,BPD,Report
B16-01986,1/16/16,1:31 AM,January,Saturday,NOISE,421 E 19TH ST; APT 13,LB212,BPD,No Report
B16-01987,1/16/16,1:32 AM,January,Saturday,NOISE,946 S MAXWELL TER; MAXWELL TERRACE APARTMENTS  d & f,LB312,BPD,No Report
B16-02040,1/16/16,12:07 PM,January,Saturday,NOISE,501 S VILLAGE CT,LB402,BPD,No Report
B16-02090,1/16/16,8:51 PM,January,Saturday,NOISE,2423 S BRITTANY LN,LB326,BPD,No Report
B16-02103,1/16/16,10:06 PM,January,Saturday,NOISE,612 S STATE ROAD 446; apt 34A,LB307,BPD,No Report
B16-02104,1/16/16,10:40 PM,January,Saturday,NOISE,2423 S BRITTANY LN,LB326,BPD,No Report
B16-02117,1/16/16,11:54 PM,January,Saturday,NOISE,433 W AMARYLLIS DR,LB513,BPD,No Report
B16-02118,1/17/16,12:04 AM,January,Sunday,NOISE,525 S PATTERSON DR,LB406,BPD,No Report
B16-02123,1/17/16,1:46 AM,January,Sunday,NOISE,2500 S ROCKPORT RD; APT 104,LB424,BPD,No Report
B16-02127,1/17/16,1:52 AM,January,Sunday,NOISE,612 S STATE ROAD 446; APT 34A,LB307,BPD,No Report
B16-02180,1/17/16,5:27 PM,January,Sunday,NOISE,912 S COPPER BEECH WAY; APT I,LB415,BPD,No Report
B16-02220,1/17/16,11:32 PM,January,Sunday,NOISE,541 W TERRY LN; APT C,LB513,BPD,No Report
B16-02221,1/17/16,11:40 PM,January,Sunday,NOISE,1150 S CLARIZZ BLVD; APT F323,LB310,BPD,No Report
B16-02223,1/18/16,12:25 AM,January,Monday,NOISE,1600 N WILLIS DR; lot 7 or 9,LB513,BPD,No Report
B16-02232,1/18/16,3:11 AM,January,Monday,NOISE,2500 S ROCKPORT RD; apt 103,LB424,BPD,No Report
B16-02338,1/18/16,9:10 PM,January,Monday,NOISE,3112 E BRAESIDE DR; APT 3277,LB221,BPD,No Report
B16-02353,1/19/16,12:49 AM,January,Tuesday,NOISE,3277 E BRAESIDE DR,LB221,BPD,No Report
B16-02357,1/19/16,1:17 AM,January,Tuesday,NOISE,3288 S WALNUT SPRINGS DR,LB336,BPD,No Report
B16-02470,1/19/16,10:10 PM,January,Tuesday,NOISE,329 W 1ST ST,LB409,BPD,No Report
B16-02494,1/20/16,12:15 AM,January,Wednesday,NOISE,3100 S WALNUT STREET PIKE; apt b100,LB336,BPD,No Report
B16-02500,1/20/16,3:04 AM,January,Wednesday,NOISE,702 N COLLEGE AVE; THE LOFTS; apt 8,LB519,BPD,No Report
B16-02578,1/20/16,7:44 PM,January,Wednesday,NOISE,1500 E MAXWELL LN,LB312,BPD,No Report
B16-02584,1/20/16,9:14 PM,January,Wednesday,NOISE,329 W 1ST ST,LB409,BPD,No Report
B16-02608,1/21/16,12:31 AM,January,Thursday,NOISE,2372 S WINSLOW CT,LB326,BPD,No Report
B16-02613,1/21/16,1:45 AM,January,Thursday,NOISE,524 N COLLEGE AVE; apt 207,LB101,BPD,No Report
B16-02726,1/21/16,8:52 PM,January,Thursday,NOISE,703 W GOURLEY PIKE; APT 58,LB513,BPD,No Report
B16-02730,1/21/16,10:09 PM,January,Thursday,NOISE,702 N COLLEGE AVE; APT 11,LB519,BPD,No Report
B16-02732,1/21/16,10:12 PM,January,Thursday,NOISE,420 S GRANT ST; BOTTOM FLOOR,LB104,BPD,No Report
B16-02735,1/21/16,10:14 PM,January,Thursday,NOISE,S THE STANDS DR & E LINDEN HILL DR,LB331,BPD,No Report
B16-02737,1/21/16,10:32 PM,January,Thursday,NOISE,N WASHINGTON ST & E 8TH ST,LB102,BPD,No Report
B16-02738,1/21/16,10:12 PM,January,Thursday,NOISE,702 N COLLEGE AVE; APT 11,LB519,BPD,No Report
B16-02740,1/21/16,10:44 PM,January,Thursday,NOISE,212 N MORTON ST; APT 707,LB101,BPD,No Report
B16-02749,1/21/16,11:44 PM,January,Thursday,NOISE,690 E 1ST ST,LB302,BPD,No Report
B16-02754,1/22/16,12:27 AM,January,Friday,NOISE,525 S PATTERSON DR,LB406,BPD,No Report
B16-02762,1/22/16,1:37 AM,January,Friday,NOISE,2900 W ALDER CT;,LB415,BPD,No Report
B16-02838,1/22/16,4:09 PM,January,Friday,NOISE,3801 E MORNINGSIDE DR,LB220,BPD,No Report
B16-02894,1/22/16,10:57 PM,January,Friday,NOISE,780 S BASSWOOD DR; apt d,LB415,BPD,No Report
B16-02900,1/22/16,11:31 PM,January,Friday,NOISE,703 W GOURLEY PIKE; apt 154b,LB513,BPD,No Report
B16-02902,1/22/16,11:49 PM,January,Friday,NOISE,430 S DUNN ST,LB104,BPD,No Report
B16-02907,1/23/16,12:34 AM,January,Saturday,NOISE,503 S MULLER PKWY,LB404,BPD,No Report
B16-02978,1/23/16,4:30 PM,January,Saturday,NOISE,606 S PARK AVE,LB302,BPD,No Report
B16-03006,1/23/16,8:04 PM,January,Saturday,NOISE,506 S MULLER PKWY; APT 613,LB404,BPD,No Report
B16-03008,1/23/16,8:26 PM,January,Saturday,NOISE,1600 N WILLIS DR; LOT 97,LB513,BPD,No Report
B16-03053,1/24/16,12:35 AM,January,Sunday,NOISE,320 S DUNN ST; apt 204,LB104,BPD,No Report
B16-03059,1/24/16,1:30 AM,January,Sunday,NOISE,801 W 11TH ST,LB518,BPD,No Report
B16-03060,1/24/16,1:49 AM,January,Sunday,NOISE,3305 S ODELL DR; apt 2,LB336,BPD,No Report
B16-03130,1/24/16,4:02 PM,January,Sunday,NOISE,3801 E MORNINGSIDE DR; APT 27,LB220,BPD,No Report
B16-03142,1/24/16,5:53 PM,January,Sunday,NOISE,1514 E MAXWELL LN,LB312,BPD,No Report
B16-03165,1/24/16,10:33 PM,January,Sunday,NOISE,310 W 12TH ST; APT 3203,LB519,BPD,No Report
B16-03177,1/25/16,12:43 AM,January,Monday,NOISE,400 E 2ND ST; apt 9,LB301,BPD,No Report
B16-03178,1/25/16,1:05 AM,January,Monday,NOISE,1923 N DUNN ST,LB212,BPD,No Report
B16-03181,1/25/16,2:45 AM,January,Monday,NOISE,3412 S ACADIA CT,LB329,BPD,No Report
B16-03446,1/26/16,10:42 PM,January,Tuesday,NOISE,3100 S WALNUT STREET PIKE; APT A17,LB336,BPD,No Report
B16-03455,1/27/16,12:05 AM,January,Wednesday,NOISE,3100 S WALNUT STREET PIKE; APT 17,LB336,BPD,No Report
B16-03461,1/27/16,1:03 AM,January,Wednesday,NOISE,600 E 1ST ST,LB302,BPD,No Report
B16-03463,1/27/16,2:01 AM,January,Wednesday,NOISE,3100 S WALNUT STREET PIKE; apt a17,LB336,BPD,No Report
B16-03682,1/28/16,4:51 PM,January,Thursday,NOISE,2304 S ROGERS ST; SOUTH ROGERS MOBILE HOME PARK,LB423,BPD,No Report
B16-03699,1/28/16,6:43 PM,January,Thursday,NOISE,612 S STATE ROAD 446; APT 34A,LB307,BPD,No Report
B16-03705,1/28/16,7:39 PM,January,Thursday,NOISE,612 S STATE ROAD 446; APT 34 A,LB307,BPD,No Report
B16-03735,1/28/16,11:21 PM,January,Thursday,NOISE,702 N COLLEGE AVE; APT 108,LB519,BPD,No Report
B16-03736,1/28/16,11:48 PM,January,Thursday,NOISE,116 N WALNUT ST,LB102,BPD,No Report
B16-03739,1/28/16,11:46 PM,January,Thursday,NOISE,612 S STATE ROAD 446; APT 1,LB307,BPD,No Report
B16-03743,1/29/16,1:59 AM,January,Friday,NOISE,3511 S HEATHERWOOD LN,LB428,BPD,No Report
B16-03862,1/29/16,7:14 PM,January,Friday,NOISE,2264 S OAKDALE DR; BLDG CC,LB417,BPD,No Report
B16-03865,1/29/16,8:22 PM,January,Friday,NOISE,352 E VARSITY LN,LB212,BPD,No Report
B16-03875,1/29/16,8:56 PM,January,Friday,NOISE,528 S BASSWOOD DR; APT F,LB404,BPD,No Report
B16-03953,1/30/16,2:00 PM,January,Saturday,NOISE,2304 S ROGERS ST,LB423,BPD,No Report
B16-03957,1/30/16,1:10 PM,January,Saturday,NOISE,1366 N ARLINGTON PARK DR; APT 315,LB514,BPD,No Report
B16-03962,1/30/16,2:47 PM,January,Saturday,NOISE,719 N WASHINGTON ST,LB213,BPD,No Report
B16-03977,1/30/16,4:10 PM,January,Saturday,NOISE,719 N WASHINGTON ST,LB213,BPD,No Report
B16-03980,1/30/16,4:37 PM,January,Saturday,NOISE,810 N WASHINGTON ST,LB213,BPD,No Report
B16-03996,1/30/16,6:06 PM,January,Saturday,NOISE,2611 E 2ND ST; APT 12,LB304,BPD,No Report
B16-03999,1/30/16,4:37 PM,January,Saturday,NOISE,N GRANT ST & E 12TH ST,LB213,BPD,No Report
B16-04006,1/30/16,7:10 PM,January,Saturday,NOISE,S ROCKPORT RD & W COUNTRYSIDE LN,LB420,BPD,No Report
B16-04019,1/30/16,8:28 PM,January,Saturday,NOISE,411 E 8TH ST; LEXINGTON HOUSE APARTMENTS apt 7,LB102,BPD,No Report
B16-04032,1/30/16,10:15 PM,January,Saturday,NOISE,113 E 15TH ST,LB213,BPD,No Report
B16-04053,1/30/16,11:23 PM,January,Saturday,NOISE,N COLLEGE AVE & W 10TH ST,LB101,BPD,No Report
B16-04054,1/31/16,12:01 AM,January,Sunday,NOISE,300 S GRANT ST,LB104,BPD,No Report
B16-04057,1/31/16,12:12 AM,January,Sunday,NOISE,1150 S CLARIZZ BLVD; APT A102,LB310,BPD,No Report
B16-04060,1/31/16,12:18 AM,January,Sunday,NOISE,518 E 1ST ST,LB301,BPD,No Report
B16-04062,1/31/16,12:23 AM,January,Sunday,NOISE,3235 S WALNUT SPRINGS DR,LB336,BPD,No Report
B16-04066,1/31/16,1:08 AM,January,Sunday,NOISE,212 E 17TH ST,LB213,BPD,No Report
B16-04067,1/31/16,1:06 AM,January,Sunday,NOISE,553 S DOLIMAH AVE; APT3102,LB406,BPD,No Report
B16-04069,1/31/16,1:32 AM,January,Sunday,NOISE,704 E SHERWOOD HILLS DR,LB329,BPD,No Report
B16-04071,1/31/16,1:54 AM,January,Sunday,NOISE,N MILO B SAMPSON LN & E LINDEN DR,LB210,BPD,No Report
B16-04075,1/31/16,3:13 AM,January,Sunday,NOISE,S DUNN ST & E HILLSIDE DR,LB315,BPD,No Report
B16-04176,1/31/16,9:36 PM,January,Sunday,NOISE,704 W 4TH ST,LB408,BPD,No Report
B16-04194,2/1/16,2:33 AM,February,Monday,NOISE,301 E BROWNSTONE DR; BROWNSTONE TERRACE,LB213,BPD,No Report
B16-04268,2/1/16,4:40 PM,February,Monday,NOISE,1020 W 6TH ST; 220 E 3RD,LB520,BPD,No Report
B16-04305,2/1/16,9:30 PM,February,Monday,NOISE,421 E 19TH ST; APT 5,LB212,BPD,No Report
B16-04318,2/2/16,12:25 AM,February,Tuesday,NOISE,379 E MELROSE AVE; APT 379,LB315,BPD,No Report
B16-04322,2/2/16,4:07 AM,February,Tuesday,NOISE,217 E 1ST ST,LB301,BPD,No Report
B16-04325,2/2/16,5:32 AM,February,Tuesday,NOISE,217 E 1ST ST;UNIT 2,LB301,BPD,No Report
B16-04327,2/2/16,6:19 AM,February,Tuesday,NOISE,3315 E LONGVIEW AVE; APT 1,LB221,BPD,No Report
B16-04377,2/2/16,2:46 PM,February,Tuesday,NOISE,1410 S PALMER AVE,,BPD,No Report
B16-04423,2/2/16,9:18 PM,February,Tuesday,NOISE,531 N COLLEGE AVE,LB101,BPD,No Report
B16-04433,2/2/16,11:24 PM,February,Tuesday,NOISE,1150 S CLARIZZ BLVD; BLDG T,LB310,BPD,No Report
B16-04436,2/3/16,12:10 AM,February,Wednesday,NOISE,379 E MELROSE AVE,LB315,BPD,No Report
B16-04442,2/3/16,4:07 AM,February,Wednesday,NOISE,S HENDERSON ST & E 1ST ST,LB302,BPD,No Report
B16-04537,2/3/16,8:41 PM,February,Wednesday,NOISE,233 E BROWNSTONE DR; APT 233,LB213,BPD,No Report
B16-04654,2/4/16,9:29 PM,February,Thursday,NOISE,1309 S PALMER AVE,LB314,BPD,No Report
B16-04661,2/4/16,11:51 PM,February,Thursday,NOISE,119 S PARK RIDGE RD; PAVILION PARK; APT 5,LB219,BPD,No Report
B16-04734,2/5/16,4:02 PM,February,Friday,NOISE,N LINCOLN ST & E 8TH ST,LB102,BPD,No Report
B16-04770,2/5/16,9:41 PM,February,Friday,NOISE,1057 S BASSWOOD CIR,LB415,BPD,No Report
B16-04773,2/5/16,10:02 PM,February,Friday,NOISE,119 S PARK RIDGE RD; PAVILION PARK; APT 5,LB219,BPD,No Report
B16-04774,2/5/16,10:49 PM,February,Friday,NOISE,1310 E ATWATER AVE,LB303,BPD,No Report
B16-04785,2/6/16,12:52 AM,February,Saturday,NOISE,553 S DOLIMAH AVE; apt 29105,LB406,BPD,No Report
B16-04786,2/6/16,12:42 AM,February,Saturday,NOISE,1700 N WALNUT ST; apt 202,LB212,BPD,No Report
B16-04787,2/6/16,12:55 AM,February,Saturday,NOISE,115 N GLENWOOD AVE W,LB220,BPD,No Report
B16-04790,2/6/16,2:04 AM,February,Saturday,NOISE,720 S COLLEGE MALL RD; APT I6,LB305,BPD,No Report
B16-04791,2/6/16,2:08 AM,February,Saturday,NOISE,524 N COLLEGE AVE; apt 404,LB101,BPD,No Report
B16-04796,2/6/16,2:54 AM,February,Saturday,NOISE,524 N COLLEGE AVE; 404,LB101,BPD,No Report
B16-04880,2/6/16,8:27 PM,February,Saturday,NOISE,1015 N ROGERS ST; ARCADIA HEIGHTS APARTMENTS; BLDG C APT 13,LB518,BPD,No Report
B16-04888,2/6/16,9:04 PM,February,Saturday,NOISE,2675 E 7TH ST; APT E,LB221,BPD,No Report
B16-04889,2/6/16,9:13 PM,February,Saturday,NOISE,500 S LINCOLN ST,LB301,BPD,No Report
B16-04901,2/6/16,11:13 PM,February,Saturday,NOISE,345 S COLLEGE AVE; APT 401,LB103,BPD,No Report
B16-04903,2/6/16,11:14 PM,February,Saturday,NOISE,215 E 12TH ST,LB213,BPD,No Report
B16-04905,2/7/16,12:08 AM,February,Sunday,NOISE,536 S WASHINGTON ST,LB301,BPD,No Report
B16-04908,2/7/16,12:22 AM,February,Sunday,NOISE,715 N WOODBRIDGE DR,LB216,BPD,No Report
B16-04909,2/7/16,12:35 AM,February,Sunday,NOISE,1150 S CLARIZZ BLVD; BLDG E,LB310,BPD,No Report
B16-04920,2/7/16,2:32 AM,February,Sunday,NOISE,504 S MULLER PKWY; apt 417,LB404,BPD,No Report
B16-04923,2/7/16,5:07 AM,February,Sunday,NOISE,3482 E COVENANTER DR,LB309,BPD,No Report
B16-04980,2/7/16,7:31 PM,February,Sunday,NOISE,1212 N GRANT ST; APT B2,LB213,BPD,No Report
B16-04994,2/7/16,8:37 PM,February,Sunday,NOISE,1600 N WILLIS DR; LOT 117,LB513,BPD,No Report
B16-05203,2/10/16,12:40 AM,February,Wednesday,NOISE,530 N LINCOLN ST,LB102,BPD,No Report
B16-05296,2/10/16,9:09 PM,February,Wednesday,NOISE,612 S STATE ROAD 446; APT 34A,LB307,BPD,No Report
B16-05380,2/11/16,6:53 PM,February,Thursday,NOISE,225 E 20TH ST; APT 5,LB212,BPD,No Report
B16-05410,2/11/16,11:28 PM,February,Thursday,NOISE,612 S STATE ROAD 446; apt 13,LB307,BPD,No Report
B16-05411,2/11/16,11:51 PM,February,Thursday,NOISE,701 N WALNUT ST; BERRY AND DOMER LAW OFFICES; apt 301,LB519,BPD,No Report
B16-05423,2/12/16,2:22 AM,February,Friday,NOISE,330 S WILMINGTON CT,LB305,BPD,No Report
B16-05499,2/12/16,5:35 PM,February,Friday,NOISE,3100 S WALNUT STREET PIKE; B116,LB336,BPD,No Report
B16-05528,2/12/16,9:56 PM,February,Friday,NOISE,504 S MULLER PKWY; apt 413,LB404,BPD,No Report
B16-05535,2/12/16,10:18 PM,February,Friday,NOISE,1309 S PALMER AVE,LB314,BPD,No Report
B16-05542,2/12/16,11:11 PM,February,Friday,NOISE,913 N COLLEGE AVE,LB519,BPD,No Report
B16-05556,2/13/16,12:41 AM,February,Saturday,NOISE,700 S EASTSIDE DR,LB303,BPD,No Report
B16-05557,2/13/16,1:05 AM,February,Saturday,NOISE,379 E MELROSE AVE,LB315,BPD,No Report
B16-05560,2/13/16,1:09 AM,February,Saturday,NOISE,717 S EASTSIDE DR,LB303,BPD,No Report
B16-05639,2/13/16,7:08 PM,February,Saturday,NOISE,1309 S PALMER AVE,LB314,BPD,No Report
B16-05658,2/13/16,9:30 PM,February,Saturday,NOISE,212 N MORTON ST; APT 504,LB101,BPD,No Report
B16-05667,2/13/16,10:42 PM,February,Saturday,NOISE,2321 S ROCKPORT RD,LB423,BPD,No Report
B16-05673,2/13/16,11:03 PM,February,Saturday,NOISE,302 N WASHINGTON ST; APT 5,LB102,BPD,No Report
B16-05689,2/14/16,12:33 AM,February,Sunday,NOISE,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,No Report
B16-05704,2/14/16,3:28 AM,February,Sunday,NOISE,212 N MORTON ST; APT 309,LB101,BPD,No Report
B16-05706,2/14/16,3:45 AM,February,Sunday,NOISE,525 S PATTERSON DR ; APT 101,LB406,BPD,No Report
B16-05774,2/14/16,4:04 PM,February,Sunday,NOISE,2304 S ROCKPORT RD,LB420,BPD,No Report
B16-05788,2/14/16,6:47 PM,February,Sunday,NOISE,406 E 11TH ST,LB213,BPD,No Report
B16-05870,2/15/16,3:52 PM,February,Monday,NOISE,1600 N WILLIS DR; LOT 103 OR 104,LB513,BPD,No Report
B16-05875,2/15/16,4:58 PM,February,Monday,NOISE,2335 S BRANDON CT,LB326,BPD,No Report
B16-05890,2/15/16,7:35 PM,February,Monday,NOISE,619 S LINCOLN ST,LB301,BPD,No Report
B16-05896,2/15/16,9:47 PM,February,Monday,NOISE,600 S LINCOLN ST,LB301,BPD,No Report
B16-05906,2/15/16,11:25 PM,February,Monday,NOISE,3100 S WALNUT STREET PIKE,LB336,BPD,No Report
B16-05915,2/16/16,1:11 AM,February,Tuesday,NOISE,401 S WASHINGTON ST; MIDDLE WAY HOUSE THE RISE,LB104,BPD,No Report
B16-05917,2/16/16,1:21 AM,February,Tuesday,NOISE,913 N COLLEGE AVE; 101 OR 106,LB519,BPD,No Report
B16-06028,2/16/16,11:11 PM,February,Tuesday,NOISE,S EASTSIDE DR & E 2ND ST,LB303,BPD,No Report
B16-06029,2/16/16,10:17 PM,February,Tuesday,NOISE,612 S STATE ROAD 446; apt 34a,LB307,BPD,No Report
B16-06040,2/17/16,4:50 AM,February,Wednesday,NOISE,411 E SOUTHERN DR; SOUTHERN VALLEY APARTMENTS; apt 5,LB315,BPD,No Report
B16-06161,2/18/16,1:31 AM,February,Thursday,NOISE,E 15TH ST & N DUNN ST,LB214,BPD,No Report
B16-06270,2/18/16,8:06 PM,February,Thursday,NOISE,3320 S ACADIA CT,LB329,BPD,No Report
B16-06278,2/18/16,9:45 PM,February,Thursday,NOISE,3100 S WALNUT STREET PIKE ;APT B112,LB336,BPD,No Report
B16-06280,2/18/16,10:02 PM,February,Thursday,NOISE,1150 S CLARIZZ BLVD; F324,LB310,BPD,No Report
B16-06287,2/18/16,11:28 PM,February,Thursday,NOISE,1150 S CLARIZZ BLVD; APT T 277,LB310,BPD,No Report
B16-06298,2/19/16,1:23 AM,February,Friday,NOISE,N WASHINGTON ST & E 8TH ST,LB102,BPD,No Report
B16-06305,2/19/16,2:32 AM,February,Friday,NOISE,624 S FESS AVE; APT 1,LB302,BPD,No Report
B16-06415,2/19/16,8:55 PM,February,Friday,NOISE,3100 S WALNUT STREET PIKE; B179,LB336,BPD,No Report
B16-06418,2/19/16,9:10 PM,February,Friday,NOISE,541 W TERRY LN; APT B,LB513,BPD,No Report
B16-06441,2/19/16,11:43 PM,February,Friday,NOISE,555 S JUNYA ST; apt 21201,LB406,BPD,No Report
B16-06454,2/20/16,12:33 AM,February,Saturday,NOISE,805 N WASHINGTON ST,LB213,BPD,No Report
B16-06457,2/20/16,12:48 AM,February,Saturday,NOISE,414 E HILLSIDE DR,LB315,BPD,No Report
B16-06460,2/20/16,12:46 AM,February,Saturday,NOISE,506 S MULLER PKWY; APT 620,LB404,BPD,No Report
B16-06463,2/20/16,1:06 AM,February,Saturday,NOISE,300 E STATE ROAD 45 46 BYPASS,LB212,BPD,No Report
B16-06472,2/20/16,1:55 AM,February,Saturday,NOISE,726 E UNIVERSITY ST,LB302,BPD,No Report
B16-06473,2/20/16,2:40 AM,February,Saturday,NOISE,417 S FESS AVE,LB302,BPD,No Report
B16-06527,2/20/16,1:26 PM,February,Saturday,NOISE,318 N DUNN ST,LB102,BPD,No Report
B16-06532,2/20/16,2:05 PM,February,Saturday,NOISE,618 S FESS AVE,LB302,BPD,No Report
B16-06533,2/20/16,2:16 PM,February,Saturday,NOISE,211 E 15TH ST,LB213,BPD,No Report
B16-06542,2/20/16,2:36 PM,February,Saturday,NOISE,515 N WASHINGTON ST,LB102,BPD,No Report
B16-06555,2/20/16,3:58 PM,February,Saturday,NOISE,N WASHINGTON ST & E 7TH ST,LB102,BPD,No Report
B16-06557,2/20/16,4:51 PM,February,Saturday,NOISE,620 E UNIVERSITY ST,LB302,BPD,No Report
B16-06559,2/20/16,4:55 PM,February,Saturday,NOISE,E MILLER DR & S HUNTINGTON DR,LB316,BPD,No Report
B16-06565,2/20/16,5:19 PM,February,Saturday,NOISE,3052 E AMY LN,LB221,BPD,No Report
B16-06581,2/20/16,7:35 PM,February,Saturday,NOISE,255 E VARSITY LN,LB212,BPD,No Report
B16-06618,2/20/16,11:21 PM,February,Saturday,NOISE,N WASHINGTON ST & E 8TH ST,LB102,BPD,No Report
B16-06619,2/20/16,11:47 PM,February,Saturday,NOISE,212 N MORTON ST; APT 310,LB101,BPD,No Report
B16-06628,2/21/16,12:14 AM,February,Sunday,NOISE,211 E 15TH ST,LB213,BPD,No Report
B16-06629,2/21/16,12:54 AM,February,Sunday,NOISE,300 E STATE ROAD 45 46 BYPASS,LB212,BPD,No Report
B16-06630,2/20/16,11:20 PM,February,Saturday,NOISE,2500 S ROCKPORT RD; APT 1201,LB424,BPD,No Report
B16-06631,2/21/16,1:19 AM,February,Sunday,NOISE,N WALNUT ST & E 19TH ST,LB512,BPD,No Report
B16-06641,2/21/16,2:37 AM,February,Sunday,NOISE,4423 W HEATHERWOOD LN,LB428,BPD,No Report
B16-06658,2/21/16,4:44 AM,February,Sunday,NOISE,811 S PARK SQUARE DR,LB402,BPD,No Report
B16-06733,2/21/16,6:59 PM,February,Sunday,NOISE,1450 N WILLIS DR; APT 1,LB513,BPD,No Report
B16-06747,2/21/16,8:52 PM,February,Sunday,NOISE,1447 W ALLEN ST,LB413,BPD,No Report
B16-06757,2/21/16,10:57 PM,February,Sunday,NOISE,612 S STATE ROAD 446; APT 34A,LB307,BPD,No Report
B16-06883,2/22/16,8:28 PM,February,Monday,NOISE,1706 S HUNTINGTON DR,LB316,BPD,No Report
B16-06926,2/23/16,3:04 AM,February,Tuesday,NOISE,3100 S WALNUT STREET PIKE; apt B133,LB336,BPD,No Report
B16-06929,2/23/16,4:18 AM,February,Tuesday,NOISE,3100 S WALNUT STREET PIKE; apt b133,LB336,BPD,No Report
B16-07043,2/23/16,8:44 PM,February,Tuesday,NOISE,1614 W ARLINGTON RD; ARLINGTON APARTMENTS; APT 1,LB514,BPD,No Report
B16-07058,2/23/16,11:25 PM,February,Tuesday,NOISE,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,No Report
B16-07061,2/23/16,11:58 PM,February,Tuesday,NOISE,300 N WASHINGTON ST,LB102,BPD,No Report
